combination,ml type,loss rate,f1 score
B,DT,0.5690882422306274,0.6515847526060784,192
C,KNN,0.5690882422306274,0.723745126705653,192
I,AB,0.5690882422306274,0.7059434064348579,192
B + C,AB,0.5690882422306274,0.759621086337761,192
B + I,AB,0.5690882422306274,0.7530451502261629,192
C + I,AB,0.5690882422306274,0.7942580258274748,192
B + C + I,AB,0.5690882422306274,0.8112014925373133,192
T,AB,1.0983379288936526,0.8167787890779581,133
T + B,RF,1.7936342176099387,0.803776860183245,133
T + C,KNN,1.7936342176099387,0.8271068096314459,133
T + I,GB,1.7936342176099387,0.8870644696848504,133
T + B + C,GB,2.0132027660538254,0.8331657131835544,133
T + B + I,AB,2.0132027660538254,0.8174332382680841,133
T + C + I,AB,2.0132027660538254,0.8188709478614569,133
T + B + C + I,AB,2.122987040275769,0.8570943020611632,133
